spare_cap_sq,spare_cap_x_conc,spare_cap_x_wl_total,vol_top3_share,n_high_asr_items,spare_cap_log1p,h_to_H_max_sq,l_std_x_h_max,max_fp_ratio,spare_cap_x_wl_max,wl_total_over_wl_max,max_dim_l_to_vL,spare_cap_x_sku_counts,n_items_near_vL,n_tall_items,n_wide_items,n_multi_dim_stress,spare_cap_x_n_near_vL,q90_l_to_L,spare_cap_x_n_wide,height_tail_share
12866569,1093.1553994469998,4973973.334528999,0.39168860019800544,1,8.185350223178686,0.0802777775888889,0.036352592273898914,0.13,641176.25,7.75757575939716,0.5833333333236111,53805,3,2,4,6,10761,0.5366666666666667,14348,0.0
787363600,7361.41209236,18624825.0,0.6456316410861865,1,10.242135990940183,0.0711111112888889,0.026220548299442353,0.11733333333333333,4501291.667602,4.137662336776771,0.5833333333236111,168360,2,2,0,4,56120,0.575,0,0.0
40056241,1975.095264101,9071566.664557,0.39282666597708876,2,8.753055515138222,0.0802777775888889,0.0366154816902563,0.13,1131308.75,8.018648016738357,0.5833333333236111,88606,4,3,3,7,25316,0.5616666666666666,18987,0.0
73479184,2469.6900978880003,11597201.669524,0.41772812122543096,2,9.056373008678756,0.0711111112888889,0.03024363817113788,0.13,1532245.0,7.568764570587028,0.5833333333236111,102864,5,2,3,7,42860,0.565,25716,0.0
260144641,4007.760968333,13797015.4172043,0.5955110664680822,0,9.688436171119255,0.0802777775888889,0.04075630570205141,0.13,2883058.75,4.785547785707493,0.5999999999900001,112903,4,1,2,5,64516,0.59,32258,0.0
365268544,4478.671353496,14716240.0,0.5966857231149567,0,9.858124010784598,0.09,0.029201616,0.14733333333333334,3416270.0,4.3076923076682085,0.5499999999908334,152896,1,4,1,2,19112,0.48,19112,0.0
215091556,3831.8757372460004,13358281.6661778,0.5667897408848157,0,9.593355351246755,0.0802777775888889,0.040260233235968355,0.13,2621547.5,5.095571095356109,0.5999999999900001,117328,4,1,2,5,58664,0.5883333333333334,29332,0.0
81974916,2378.73999105,9770775.003018,0.514104490068436,0,9.111072370317514,0.09,0.03399684,0.14733333333333334,1618402.5,6.037296039127064,0.5499999999908334,99594,2,4,3,3,18108,0.55,27162,0.0
611276176,5162.292552956,14875606.667490799,0.7542907871375024,0,10.115570156490913,0.0802777775888889,0.032497673128434115,0.112,3605583.3325091996,4.125714286857587,0.5999999999900001,123620,3,1,0,4,74172,0.5933333333333334,0,0.0
541074121,5322.171300522999,15284415.4158913,0.703528221169327,0,10.054576406898985,0.0802777775888889,0.03467431884254002,0.112,3392229.1658913,4.505714286484697,0.5999999999900001,139566,3,1,0,4,69783,0.5916666666666667,0,0.0
744798681,6847.08729507,14407373.7509097,0.8636286633914958,0,10.214348897935315,0.0802777775888889,0.037110778389673596,0.112,3979937.4990903,3.6200000010311775,0.5999999999900001,136455,2,1,0,3,54582,0.5933333333333334,0,0.0
456505956,6225.595723115999,17831707.499287803,0.5884319201150884,1,9.969602954742989,0.0711111112888889,0.0313827427058951,0.13,3819172.5,4.668997668785069,0.5499999999908334,170928,2,2,3,3,42732,0.5266666666666667,64098,0.0
393070276,5828.526129742,15315585.0,0.5913243822991976,2,9.894799924138562,0.0802777775888889,0.03879701433768979,0.12,2891291.6660058,5.29714285831731,0.5999999999900001,158608,3,2,0,4,59478,0.5883333333333334,0,0.0
437395396,5602.459323082,16121208.332636202,0.5681723822967699,0,9.948221883876299,0.09,0.0327259476,0.14733333333333334,3738377.5,4.312354312143707,0.5499999999908334,188226,1,3,2,1,20914,0.44333333333333336,41828,0.0
