ID,ReturnValue,Time
1976,1,2
1977,1,295
1978,1,4
1979,1,3
1980,1,294
1981,1,3
1982,1,3
1983,1,3
1984,1,2
1985,1,76
1986,1,3
1987,1,3
1988,1,23
1989,1,4
1990,1,3
1991,1,48
1992,1,3
1993,1,60
1994,1,4
1995,1,4
1996,1,3
1997,1,3
1998,1,4
1999,1,40
2000,1,3
2001,1,39
2002,1,3
2003,1,23
2004,1,23
2005,1,22
2006,1,4
2007,1,2
2008,1,3
2009,1,14
2010,1,15
2011,1,16
2012,1,21
2013,1,4
2014,1,3
2015,1,52
2016,1,55
2017,1,4
2018,1,4
2019,1,4
2020,1,3
2021,1,252
2022,1,3
2023,1,240
2024,1,233
2025,1,3
2026,1,230
2027,1,37
2028,1,40
2029,1,4
2030,1,1
2031,-1,2005
2032,1,4
2033,1,5
2034,1,4
2035,-1,2004
2036,-1,2005
2037,1,4
2038,0,4
2039,1,4
2040,1,4
2041,1,5
2042,1,4
2043,1,5
2044,0,72
2045,0,6
2046,0,4
2047,1,4
2048,1,5
2049,1,4
2050,1,1549
2051,0,2
2052,1,12
2053,1,1543
2054,1,6
2055,0,591
2056,1,5
2057,0,592
2058,0,568
2059,1,5
2060,1,1577
2061,1,5
2062,1,58
2063,1,52
2064,1,5
2065,1,5
2066,1,1799
2067,1,1855
2068,1,1351
2069,1,1367
2070,1,1307
2071,1,5
2072,1,6
2073,1,7
2074,1,5
2075,1,4
2076,1,807
2077,1,809
2078,0,3
2079,0,3
2080,1,8
2081,1,7
2082,1,882
2083,1,884
2084,0,2
2085,0,2
2086,0,2
2087,1,8
2088,1,42
2089,1,6
2090,1,40
2091,1,6
2092,1,2
2093,0,3
2094,1,6
2095,1,6
2096,1,7
2097,0,7
2098,0,7
2099,0,3
