footprint_pressure,spare_cap_x_n_tall_items,n_long_tall_items
0.7826666666666666,41408,0
0.7246666666666667,33772,0
0.7026666666666667,44528,0
0.7233333333333334,19542,0
0.9073333333333333,12433,0
0.7773333333333333,14259,0
0.7393333333333333,42516,0
0.9013333333333333,32256,0
0.7826666666666666,17682,0
0.536,24969,0
0.8693333333333333,34128,0
1.016,10406,0
1.1766666666666667,6586,0
0.5806666666666667,46588,0
0.584,24484,0
1.0153333333333334,21526,0
0.616,51808,0
0.8146666666666667,39536,0
0.8773333333333333,39621,0
0.19133333333333333,39519,0
0.8886666666666667,35214,0
0.7293333333333333,17716,0
0.596,28046,0
0.5106666666666667,26399,0
0.702,41836,0
0.8346666666666667,30284,0
0.8666666666666667,28924,0
0.9593333333333334,14260,0
1.122,11406,0
0.08,0,0
0.9693333333333334,9182,0
0.846,29932,0
0.664,21044,0
0.73,16364,0
1.1786666666666668,26,0
1.2973333333333332,3504,0
0.98,20108,0
0.782,36268,0
0.868,43512,0
0.8026666666666666,38262,0
0.824,16244,0
0.794,17599,0
0.8546666666666667,44040,0
0.914,39606,0
0.6293333333333333,20538,0
0.6866666666666666,41584,0
0.8693333333333333,31040,0
0.666,19532,0
0.848,12316,0
0.7006666666666667,20038,0
0.9466666666666667,27840,0
0.8166666666666667,16083,0
0.7633333333333333,36766,0
0.5766666666666667,51798,0
0.874,34762,0
0.734,40876,0
0.8393333333333334,28182,0
0.6253333333333333,23265,0
1.07,7243,0
0.5513333333333333,51420,0
0.6066666666666667,22751,0
0.6433333333333333,0,0
0.15266666666666667,0,0
0.9506666666666667,21138,0
0.6226666666666667,47920,0
1.0306666666666666,31053,0
0.5426666666666666,24178,0
0.8713333333333333,13379,0
0.7273333333333334,39126,0
0.7113333333333334,36822,0
0.6953333333333334,40998,0
0.834,26542,0
0.8933333333333333,46536,0
0.75,37378,0
0.622,45228,0
0.9353333333333333,28006,0
0.858,16172,0
0.6866666666666666,19511,0
0.62,19958,0
0.94,31728,0
0.7666666666666667,0,0
0.9006666666666666,42813,0
0.8346666666666667,17438,0
0.9866666666666667,16220,0
0.912,10889,0
0.8826666666666667,12822,0
0.796,0,0
0.6593333333333333,21476,0
